Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Afghanistan","Production","Almonds, in shell","2022","t","64000"
"Crops and livestock products","Afghanistan","Production","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","t","17883.38"
"Crops and livestock products","Afghanistan","Production","Apples","2022","t","318000"
"Crops and livestock products","Afghanistan","Production","Apricots","2022","t","170507.92"
"Crops and livestock products","Afghanistan","Production","Barley","2022","t","110000"
"Crops and livestock products","Afghanistan","Production","Cantaloupes and other melons","2022","t","809194.26"
"Crops and livestock products","Afghanistan","Production","Cattle fat, unrendered","2022","t","2002.72"
"Crops and livestock products","Afghanistan","Production","Edible offal of cattle, fresh, chilled or frozen","2022","t","14327.13"
"Crops and livestock products","Afghanistan","Production","Edible offal of goat, fresh, chilled or frozen","2022","t","9221.22"
"Crops and livestock products","Afghanistan","Production","Edible offal of sheep, fresh, chilled or frozen","2022","t","20825"
"Crops and livestock products","Afghanistan","Production","Edible offals of camels and other camelids, fresh, chilled or frozen","2022","t","544.32"
"Crops and livestock products","Afghanistan","Production","Fat of camels","2022","t","254.01"
"Crops and livestock products","Afghanistan","Production","Figs","2022","t","29437.38"
"Crops and livestock products","Afghanistan","Production","Game meat, fresh, chilled or frozen","2022","t","8010.44"
"Crops and livestock products","Afghanistan","Production","Goat fat, unrendered","2022","t","1747.18"
"Crops and livestock products","Afghanistan","Production","Grapes","2022","t","910000"
"Crops and livestock products","Afghanistan","Production","Hen eggs in shell, fresh","2022","t","21564.4"
"Crops and livestock products","Afghanistan","Production","Hen eggs in shell, fresh","2022","1000 No","431288"
"Crops and livestock products","Afghanistan","Production","Linseed","2022","t","29000"
"Crops and livestock products","Afghanistan","Production","Maize (corn)","2022","t","311000"
"Crops and livestock products","Afghanistan","Production","Meat of camels, fresh or chilled","2022","t","3628.77"
"Crops and livestock products","Afghanistan","Production","Meat of cattle with the bone, fresh or chilled","2022","t","81649.23"
"Crops and livestock products","Afghanistan","Production","Meat of chickens, fresh or chilled","2022","t","28790.74"
"Crops and livestock products","Afghanistan","Production","Meat of goat, fresh or chilled","2022","t","47562.08"
"Crops and livestock products","Afghanistan","Production","Meat of sheep, fresh or chilled","2022","t","102000"
"Crops and livestock products","Afghanistan","Production","Millet","2022","t","1671.6"
"Crops and livestock products","Afghanistan","Production","Mustard seed","2022","t","1032.98"
"Crops and livestock products","Afghanistan","Production","Natural honey","2022","t","1406.11"
"Crops and livestock products","Afghanistan","Production","Olives","2022","t","7687.24"
"Crops and livestock products","Afghanistan","Production","Onions and shallots, dry (excluding dehydrated)","2022","t","541000"
"Crops and livestock products","Afghanistan","Production","Oranges","2022","t","8261.21"
"Crops and livestock products","Afghanistan","Production","Other berries and fruits of the genus vaccinium n.e.c.","2022","t","37783.89"
"Crops and livestock products","Afghanistan","Production","Other citrus fruit, n.e.c.","2022","t","18501.35"
"Crops and livestock products","Afghanistan","Production","Other fruits, n.e.c.","2022","t","61977.16"
"Crops and livestock products","Afghanistan","Production","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2022","t","2203.13"
"Crops and livestock products","Afghanistan","Production","Other pulses n.e.c.","2022","t","54454.23"
"Crops and livestock products","Afghanistan","Production","Other stimulant, spice and aromatic crops, n.e.c.","2022","t","10.89"
"Crops and livestock products","Afghanistan","Production","Other stone fruits","2022","t","50457.67"
"Crops and livestock products","Afghanistan","Production","Other vegetables, fresh n.e.c.","2022","t","766887.84"
"Crops and livestock products","Afghanistan","Production","Peaches and nectarines","2022","t","97704.88"
"Crops and livestock products","Afghanistan","Production","Pears","2022","t","32000"
"Crops and livestock products","Afghanistan","Production","Pistachios, in shell","2022","t","2800.16"
"Crops and livestock products","Afghanistan","Production","Plums and sloes","2022","t","45889.52"
"Crops and livestock products","Afghanistan","Production","Potatoes","2022","t","889000"
"Crops and livestock products","Afghanistan","Production","Raw hides and skins of cattle","2022","t","13402.8"
"Crops and livestock products","Afghanistan","Production","Raw hides and skins of goats or kids","2022","t","7182.84"
"Crops and livestock products","Afghanistan","Production","Raw hides and skins of sheep or lambs","2022","t","16150"
