"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S2001_C01_001E","Total!!Estimate!!Population 16 years and over with earnings"
"S2001_C01_001M","Total!!Margin of Error!!Population 16 years and over with earnings"
"S2001_C02_001E","Male!!Estimate!!Population 16 years and over with earnings"
"S2001_C02_001M","Male!!Margin of Error!!Population 16 years and over with earnings"
"S2001_C03_001E","Female!!Estimate!!Population 16 years and over with earnings"
"S2001_C03_001M","Female!!Margin of Error!!Population 16 years and over with earnings"
"S2001_C01_002E","Total!!Estimate!!Median earnings (dollars)"
"S2001_C01_002M","Total!!Margin of Error!!Median earnings (dollars)"
"S2001_C02_002E","Male!!Estimate!!Median earnings (dollars)"
"S2001_C02_002M","Male!!Margin of Error!!Median earnings (dollars)"
"S2001_C03_002E","Female!!Estimate!!Median earnings (dollars)"
"S2001_C03_002M","Female!!Margin of Error!!Median earnings (dollars)"
"S2001_C01_003E","Total!!Estimate!!Full-time, year-round workers with earnings"
"S2001_C01_003M","Total!!Margin of Error!!Full-time, year-round workers with earnings"
"S2001_C02_003E","Male!!Estimate!!Full-time, year-round workers with earnings"
"S2001_C02_003M","Male!!Margin of Error!!Full-time, year-round workers with earnings"
"S2001_C03_003E","Female!!Estimate!!Full-time, year-round workers with earnings"
"S2001_C03_003M","Female!!Margin of Error!!Full-time, year-round workers with earnings"
"S2001_C01_004E","Total!!Estimate!!$1 to $9,999 or loss"
"S2001_C01_004M","Total!!Margin of Error!!$1 to $9,999 or loss"
"S2001_C02_004E","Male!!Estimate!!$1 to $9,999 or loss"
"S2001_C02_004M","Male!!Margin of Error!!$1 to $9,999 or loss"
"S2001_C03_004E","Female!!Estimate!!$1 to $9,999 or loss"
"S2001_C03_004M","Female!!Margin of Error!!$1 to $9,999 or loss"
"S2001_C01_005E","Total!!Estimate!!$10,000 to $14,999"
"S2001_C01_005M","Total!!Margin of Error!!$10,000 to $14,999"
"S2001_C02_005E","Male!!Estimate!!$10,000 to $14,999"
"S2001_C02_005M","Male!!Margin of Error!!$10,000 to $14,999"
"S2001_C03_005E","Female!!Estimate!!$10,000 to $14,999"
"S2001_C03_005M","Female!!Margin of Error!!$10,000 to $14,999"
"S2001_C01_006E","Total!!Estimate!!$15,000 to $24,999"
"S2001_C01_006M","Total!!Margin of Error!!$15,000 to $24,999"
"S2001_C02_006E","Male!!Estimate!!$15,000 to $24,999"
"S2001_C02_006M","Male!!Margin of Error!!$15,000 to $24,999"
"S2001_C03_006E","Female!!Estimate!!$15,000 to $24,999"
"S2001_C03_006M","Female!!Margin of Error!!$15,000 to $24,999"
"S2001_C01_007E","Total!!Estimate!!$25,000 to $34,999"
"S2001_C01_007M","Total!!Margin of Error!!$25,000 to $34,999"
"S2001_C02_007E","Male!!Estimate!!$25,000 to $34,999"
"S2001_C02_007M","Male!!Margin of Error!!$25,000 to $34,999"
"S2001_C03_007E","Female!!Estimate!!$25,000 to $34,999"
"S2001_C03_007M","Female!!Margin of Error!!$25,000 to $34,999"
"S2001_C01_008E","Total!!Estimate!!$35,000 to $49,999"
"S2001_C01_008M","Total!!Margin of Error!!$35,000 to $49,999"
"S2001_C02_008E","Male!!Estimate!!$35,000 to $49,999"
"S2001_C02_008M","Male!!Margin of Error!!$35,000 to $49,999"
"S2001_C03_008E","Female!!Estimate!!$35,000 to $49,999"
"S2001_C03_008M","Female!!Margin of Error!!$35,000 to $49,999"
"S2001_C01_009E","Total!!Estimate!!$50,000 to $64,999"
"S2001_C01_009M","Total!!Margin of Error!!$50,000 to $64,999"
"S2001_C02_009E","Male!!Estimate!!$50,000 to $64,999"
"S2001_C02_009M","Male!!Margin of Error!!$50,000 to $64,999"
"S2001_C03_009E","Female!!Estimate!!$50,000 to $64,999"
"S2001_C03_009M","Female!!Margin of Error!!$50,000 to $64,999"
"S2001_C01_010E","Total!!Estimate!!$65,000 to $74,999"
"S2001_C01_010M","Total!!Margin of Error!!$65,000 to $74,999"
"S2001_C02_010E","Male!!Estimate!!$65,000 to $74,999"
"S2001_C02_010M","Male!!Margin of Error!!$65,000 to $74,999"
"S2001_C03_010E","Female!!Estimate!!$65,000 to $74,999"
"S2001_C03_010M","Female!!Margin of Error!!$65,000 to $74,999"
