"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S2001_C01_001E","Total!!Estimate!!Population 16 years and over with earnings"
"S2001_C01_001M","Total!!Margin of Error!!Population 16 years and over with earnings"
"S2001_C02_001E","Percent!!Estimate!!Population 16 years and over with earnings"
"S2001_C02_001M","Percent!!Margin of Error!!Population 16 years and over with earnings"
"S2001_C03_001E","Male!!Estimate!!Population 16 years and over with earnings"
"S2001_C03_001M","Male!!Margin of Error!!Population 16 years and over with earnings"
"S2001_C04_001E","Percent Male!!Estimate!!Population 16 years and over with earnings"
"S2001_C04_001M","Percent Male!!Margin of Error!!Population 16 years and over with earnings"
"S2001_C05_001E","Female!!Estimate!!Population 16 years and over with earnings"
"S2001_C05_001M","Female!!Margin of Error!!Population 16 years and over with earnings"
"S2001_C06_001E","Percent Female!!Estimate!!Population 16 years and over with earnings"
"S2001_C06_001M","Percent Female!!Margin of Error!!Population 16 years and over with earnings"
"S2001_C01_002E","Total!!Estimate!!Median earnings (dollars)"
"S2001_C01_002M","Total!!Margin of Error!!Median earnings (dollars)"
"S2001_C02_002E","Percent!!Estimate!!Median earnings (dollars)"
"S2001_C02_002M","Percent!!Margin of Error!!Median earnings (dollars)"
"S2001_C03_002E","Male!!Estimate!!Median earnings (dollars)"
"S2001_C03_002M","Male!!Margin of Error!!Median earnings (dollars)"
"S2001_C04_002E","Percent Male!!Estimate!!Median earnings (dollars)"
"S2001_C04_002M","Percent Male!!Margin of Error!!Median earnings (dollars)"
"S2001_C05_002E","Female!!Estimate!!Median earnings (dollars)"
"S2001_C05_002M","Female!!Margin of Error!!Median earnings (dollars)"
"S2001_C06_002E","Percent Female!!Estimate!!Median earnings (dollars)"
"S2001_C06_002M","Percent Female!!Margin of Error!!Median earnings (dollars)"
"S2001_C01_003E","Total!!Estimate!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS"
"S2001_C01_003M","Total!!Margin of Error!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS"
"S2001_C02_003E","Percent!!Estimate!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS"
"S2001_C02_003M","Percent!!Margin of Error!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS"
"S2001_C03_003E","Male!!Estimate!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS"
"S2001_C03_003M","Male!!Margin of Error!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS"
"S2001_C04_003E","Percent Male!!Estimate!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS"
"S2001_C04_003M","Percent Male!!Margin of Error!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS"
"S2001_C05_003E","Female!!Estimate!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS"
"S2001_C05_003M","Female!!Margin of Error!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS"
"S2001_C06_003E","Percent Female!!Estimate!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS"
"S2001_C06_003M","Percent Female!!Margin of Error!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS"
"S2001_C01_004E","Total!!Estimate!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$1 to $9,999 or loss"
"S2001_C01_004M","Total!!Margin of Error!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$1 to $9,999 or loss"
"S2001_C02_004E","Percent!!Estimate!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$1 to $9,999 or loss"
"S2001_C02_004M","Percent!!Margin of Error!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$1 to $9,999 or loss"
"S2001_C03_004E","Male!!Estimate!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$1 to $9,999 or loss"
"S2001_C03_004M","Male!!Margin of Error!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$1 to $9,999 or loss"
"S2001_C04_004E","Percent Male!!Estimate!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$1 to $9,999 or loss"
"S2001_C04_004M","Percent Male!!Margin of Error!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$1 to $9,999 or loss"
