"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S1702_C01_001E","All families!!Total!!Estimate!!Families"
"S1702_C01_001M","All families!!Total!!Margin of Error!!Families"
"S1702_C02_001E","All families!!Percent below poverty level!!Estimate!!Families"
"S1702_C02_001M","All families!!Percent below poverty level!!Margin of Error!!Families"
"S1702_C03_001E","Married-couple families!!Total!!Estimate!!Families"
"S1702_C03_001M","Married-couple families!!Total!!Margin of Error!!Families"
"S1702_C04_001E","Married-couple families!!Percent below poverty level!!Estimate!!Families"
"S1702_C04_001M","Married-couple families!!Percent below poverty level!!Margin of Error!!Families"
"S1702_C05_001E","Female householder, no husband present!!Total!!Estimate!!Families"
"S1702_C05_001M","Female householder, no husband present!!Total!!Margin of Error!!Families"
"S1702_C06_001E","Female householder, no husband present!!Percent below poverty level!!Estimate!!Families"
"S1702_C06_001M","Female householder, no husband present!!Percent below poverty level!!Margin of Error!!Families"
"S1702_C01_002E","All families!!Total!!Estimate!!With related children of householder under 18 years"
"S1702_C01_002M","All families!!Total!!Margin of Error!!With related children of householder under 18 years"
"S1702_C02_002E","All families!!Percent below poverty level!!Estimate!!With related children of householder under 18 years"
"S1702_C02_002M","All families!!Percent below poverty level!!Margin of Error!!With related children of householder under 18 years"
"S1702_C03_002E","Married-couple families!!Total!!Estimate!!With related children of householder under 18 years"
"S1702_C03_002M","Married-couple families!!Total!!Margin of Error!!With related children of householder under 18 years"
"S1702_C04_002E","Married-couple families!!Percent below poverty level!!Estimate!!With related children of householder under 18 years"
"S1702_C04_002M","Married-couple families!!Percent below poverty level!!Margin of Error!!With related children of householder under 18 years"
"S1702_C05_002E","Female householder, no husband present!!Total!!Estimate!!With related children of householder under 18 years"
"S1702_C05_002M","Female householder, no husband present!!Total!!Margin of Error!!With related children of householder under 18 years"
"S1702_C06_002E","Female householder, no husband present!!Percent below poverty level!!Estimate!!With related children of householder under 18 years"
"S1702_C06_002M","Female householder, no husband present!!Percent below poverty level!!Margin of Error!!With related children of householder under 18 years"
"S1702_C01_003E","All families!!Total!!Estimate!!With related children of householder under 18 years!!With related children of householder under 5 years"
"S1702_C01_003M","All families!!Total!!Margin of Error!!With related children of householder under 18 years!!With related children of householder under 5 years"
"S1702_C02_003E","All families!!Percent below poverty level!!Estimate!!With related children of householder under 18 years!!With related children of householder under 5 years"
"S1702_C02_003M","All families!!Percent below poverty level!!Margin of Error!!With related children of householder under 18 years!!With related children of householder under 5 years"
"S1702_C03_003E","Married-couple families!!Total!!Estimate!!With related children of householder under 18 years!!With related children of householder under 5 years"
"S1702_C03_003M","Married-couple families!!Total!!Margin of Error!!With related children of householder under 18 years!!With related children of householder under 5 years"
"S1702_C04_003E","Married-couple families!!Percent below poverty level!!Estimate!!With related children of householder under 18 years!!With related children of householder under 5 years"
"S1702_C04_003M","Married-couple families!!Percent below poverty level!!Margin of Error!!With related children of householder under 18 years!!With related children of householder under 5 years"
"S1702_C05_003E","Female householder, no husband present!!Total!!Estimate!!With related children of householder under 18 years!!With related children of householder under 5 years"
"S1702_C05_003M","Female householder, no husband present!!Total!!Margin of Error!!With related children of householder under 18 years!!With related children of householder under 5 years"
"S1702_C06_003E","Female householder, no husband present!!Percent below poverty level!!Estimate!!With related children of householder under 18 years!!With related children of householder under 5 years"
"S1702_C06_003M","Female householder, no husband present!!Percent below poverty level!!Margin of Error!!With related children of householder under 18 years!!With related children of householder under 5 years"
"S1702_C01_004E","All families!!Total!!Estimate!!With related children of householder under 18 years!!With related children of householder under 5 years and 5 to 17 years"
"S1702_C01_004M","All families!!Total!!Margin of Error!!With related children of householder under 18 years!!With related children of householder under 5 years and 5 to 17 years"
"S1702_C02_004E","All families!!Percent below poverty level!!Estimate!!With related children of householder under 18 years!!With related children of householder under 5 years and 5 to 17 years"
"S1702_C02_004M","All families!!Percent below poverty level!!Margin of Error!!With related children of householder under 18 years!!With related children of householder under 5 years and 5 to 17 years"
"S1702_C03_004E","Married-couple families!!Total!!Estimate!!With related children of householder under 18 years!!With related children of householder under 5 years and 5 to 17 years"
"S1702_C03_004M","Married-couple families!!Total!!Margin of Error!!With related children of householder under 18 years!!With related children of householder under 5 years and 5 to 17 years"
